City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mount Isa,AU,2021-11-30 01:41:00,-20.7333,139.5,92.97,16,43,5.75
68,Khatanga,RU,2021-11-30 01:41:01,71.9667,102.5,-32.48,100,92,2.59
69,Tasiilaq,GL,2021-11-30 01:41:01,65.6145,-37.6368,21.36,90,91,4.36
70,Yellowknife,CA,2021-11-30 01:41:02,62.456,-114.3525,-16.58,82,20,1.01
71,Sandpoint,US,2021-11-30 01:41:03,48.2766,-116.5533,49.55,89,75,0.0
72,Atar,MR,2021-11-30 01:41:03,20.5169,-13.0499,62.87,30,98,9.17
73,Longyearbyen,SJ,2021-11-30 01:40:53,78.2186,15.6401,10.24,67,20,16.11
74,Port Alfred,ZA,2021-11-30 01:41:04,-33.5906,26.891,66.96,89,100,10.22
75,Mocuba,MZ,2021-11-30 01:41:05,-16.8392,36.9856,65.03,81,3,1.28
76,Bijawar,IN,2021-11-30 01:41:05,24.6333,79.5,60.24,54,100,1.34
77,Lavrentiya,RU,2021-11-30 01:41:05,65.5833,-171.0,-11.78,91,3,8.41
78,Luderitz,NA,2021-11-30 01:41:06,-26.6481,15.1594,59.54,84,1,12.57
79,Iquique,CL,2021-11-30 01:41:07,-20.2208,-70.1431,66.24,72,8,0.18
80,Norman Wells,CA,2021-11-30 01:41:07,65.282,-126.8329,-29.16,68,20,6.91
81,Saint-Francois,FR,2021-11-30 01:41:08,46.4154,3.9054,33.24,93,90,3.44
82,Jamestown,US,2021-11-30 01:39:39,42.097,-79.2353,33.39,93,90,11.5
83,Baruun-Urt,MN,2021-11-30 01:41:08,46.6806,113.2792,12.11,68,12,11.48
84,Nanortalik,GL,2021-11-30 01:41:09,60.1432,-45.2371,34.11,96,100,12.19
85,Port Lincoln,AU,2021-11-30 01:41:09,-34.7333,135.8667,80.71,38,90,8.81
86,Yambio,SS,2021-11-30 01:41:10,4.5721,28.3955,68.95,93,100,2.35
87,Bilibino,RU,2021-11-30 01:37:45,68.0546,166.4372,-12.08,100,75,5.12
88,Meulaboh,ID,2021-11-30 01:41:11,4.1363,96.1285,76.66,86,98,0.22
89,Moundou,TD,2021-11-30 01:41:11,8.5667,16.0833,74.35,30,97,2.89
90,Dicabisagan,PH,2021-11-30 01:42:12,17.0818,122.4157,83.23,74,100,1.43
91,Dikson,RU,2021-11-30 01:42:12,73.5069,80.5464,-13.0,96,100,14.12
92,Clyde River,CA,2021-11-30 01:41:02,70.4692,-68.5914,-0.17,78,100,9.22
93,Kaitangata,NZ,2021-11-30 01:37:29,-46.2817,169.8464,60.93,74,98,9.82
94,Murgab,TM,2021-11-30 01:42:13,37.4966,61.9714,44.47,70,28,6.91
95,Los Llanos De Aridane,ES,2021-11-30 01:42:14,28.6585,-17.9182,62.35,77,40,14.0
96,Albany,US,2021-11-30 01:41:29,42.6001,-73.9662,28.27,75,3,7.07
97,Hambantota,LK,2021-11-30 01:42:14,6.1241,81.1185,73.74,100,20,3.44
98,Thompson,CA,2021-11-30 01:42:15,55.7435,-97.8558,24.96,80,90,16.11
99,Mbanza-Ngungu,CD,2021-11-30 01:42:15,-5.25,14.8667,68.13,95,100,2.84
100,Quang Ngai,VN,2021-11-30 01:42:16,15.1167,108.8,73.56,93,100,13.78
101,Pechenga,RU,2021-11-30 01:42:16,69.5259,31.1703,9.46,82,100,11.77
102,Davila,PH,2021-11-30 01:42:17,18.4726,120.5763,82.38,81,100,24.16
103,Port Shepstone,ZA,2021-11-30 01:37:45,-30.7414,30.455,69.33,89,0,13.13
104,Leonidovo,RU,2021-11-30 01:42:17,49.2833,142.8667,22.73,73,100,2.82
105,Mount Darwin,ZW,2021-11-30 01:42:18,-16.7725,31.5838,67.15,48,16,3.22
106,Stepnogorsk,KZ,2021-11-30 01:42:18,52.3544,71.8869,17.58,82,100,9.06
107,Qaanaaq,GL,2021-11-30 01:42:19,77.484,-69.3632,11.19,61,100,4.41
108,Avarua,CK,2021-11-30 01:42:19,-21.2078,-159.775,80.65,57,20,17.27
109,Iqaluit,CA,2021-11-30 01:42:20,63.7506,-68.5145,11.93,78,90,15.99
110,Carnarvon,AU,2021-11-30 01:38:26,-24.8667,113.6333,75.27,60,0,24.16
111,Nikolskoye,RU,2021-11-30 01:42:20,59.7035,30.7861,26.4,95,100,8.25
112,Ribeira Grande,PT,2021-11-30 01:42:21,38.5167,-28.7,61.77,64,10,9.93
113,Kodinsk,RU,2021-11-30 01:42:21,58.6881,99.1844,11.73,98,100,4.32
114,Povenets,RU,2021-11-30 01:42:22,62.8487,34.8262,18.21,92,100,19.53
115,Yar-Sale,RU,2021-11-30 01:42:22,66.8333,70.8333,0.88,96,100,9.26
116,Mar Del Plata,AR,2021-11-30 01:40:18,-38.0023,-57.5575,59.02,90,75,11.99
117,Alaca,TR,2021-11-30 01:42:23,40.1683,34.8425,58.08,47,100,23.17
118,Umm Lajj,SA,2021-11-30 01:42:23,25.0213,37.2685,82.15,34,3,10.0
119,Lata,PT,2021-11-30 01:42:24,40.1629,-8.3327,49.82,87,57,1.99
120,Giyon,ET,2021-11-30 01:42:24,8.5333,37.9833,52.05,48,19,11.97
121,Kedrovyy,RU,2021-11-30 01:42:25,56.1667,91.8167,27.01,86,96,6.82
122,Hithadhoo,MV,2021-11-30 01:37:26,-0.6,73.0833,81.54,77,76,11.43
123,Busselton,AU,2021-11-30 01:42:26,-33.65,115.3333,62.1,50,91,8.84
124,Atliaca,MX,2021-11-30 01:42:26,17.65,-99.3667,64.22,60,1,3.0
125,Labuhan,ID,2021-11-30 01:42:26,-6.8844,112.2051,83.1,70,82,3.22
126,Rawson,AR,2021-11-30 01:42:27,-43.3002,-65.1023,60.3,57,0,8.48
127,Kloulklubed,PW,2021-11-30 01:42:27,7.0419,134.2556,86.5,75,94,4.81
128,Kodiak,US,2021-11-30 01:40:14,57.79,-152.4072,36.91,87,90,14.97
129,Lorengau,PG,2021-11-30 01:42:28,-2.0226,147.2712,84.16,75,100,9.13
130,Ilembo,TZ,2021-11-30 01:42:29,-9.25,33.3833,58.12,92,93,2.06
131,Tuktoyaktuk,CA,2021-11-30 01:42:29,69.4541,-133.0374,-16.6,76,90,17.27
132,Oktyabrskiy,RU,2021-11-30 01:42:30,54.4815,53.471,29.82,76,100,16.46
133,Kununurra,AU,2021-11-30 01:42:30,-15.7667,128.7333,96.78,38,2,8.05
134,Praia Da Vitoria,PT,2021-11-30 01:42:31,38.7333,-27.0667,54.75,94,40,7.11
135,Esperance,AU,2021-11-30 01:42:32,-33.8667,121.9,62.44,61,100,11.05
136,Paso Del Toro,MX,2021-11-30 01:43:32,19.0333,-96.1167,75.22,51,40,17.27
137,Loukhi,RU,2021-11-30 01:43:33,66.0764,33.0381,17.33,82,100,9.42
138,Sao Joao Da Barra,BR,2021-11-30 01:43:33,-21.6403,-41.0511,75.02,93,93,14.32
139,Sorland,NO,2021-11-30 01:43:34,67.667,12.6934,31.5,81,100,4.99
140,Uvat,RU,2021-11-30 01:43:34,59.1433,68.8953,29.3,95,100,6.49
141,Saint-Joseph,RE,2021-11-30 01:43:34,-21.3667,55.6167,73.76,80,23,8.41
142,Airai,TL,2021-11-30 01:43:35,-8.9266,125.4092,74.79,52,62,1.81
143,Lompoc,US,2021-11-30 01:43:35,34.6391,-120.4579,64.71,86,1,5.75
144,Sumbe,AO,2021-11-30 01:43:36,-11.2061,13.8437,77.04,87,100,6.58
145,Cairns,AU,2021-11-30 01:42:42,-16.9167,145.7667,97.95,64,40,4.61
146,Bengkulu,ID,2021-11-30 01:43:37,-3.8004,102.2655,76.71,81,100,9.73
147,Tura,IN,2021-11-30 01:43:37,25.5198,90.2201,64.96,68,74,2.08
148,Santa Rosa,PH,2021-11-30 01:43:15,14.3122,121.1114,89.1,75,100,3.69
149,Stawell,AU,2021-11-30 01:43:38,-37.05,142.7667,84.36,26,9,9.55
150,Rodeo,US,2021-11-30 01:43:38,38.033,-122.2669,65.01,78,1,3.0
151,Hilo,US,2021-11-30 01:41:13,19.7297,-155.09,76.24,71,9,1.99
152,Gamba,GA,2021-11-30 01:43:39,-2.65,10.0,76.12,90,100,6.44
153,Labrea,BR,2021-11-30 01:43:40,-7.2586,-64.7981,77.16,83,11,1.7
154,Truro,GB,2021-11-30 01:43:40,50.2653,-5.0544,51.08,87,75,20.71
155,Erzin,TR,2021-11-30 01:43:41,36.9559,36.2,52.32,59,100,6.02
156,Geraldton,AU,2021-11-30 01:43:41,-28.7667,114.6,75.13,53,90,18.41
157,San Quintin,MX,2021-11-30 01:43:42,30.4833,-115.95,61.66,81,0,6.89
158,Murdochville,CA,2021-11-30 01:43:42,48.9583,-65.5006,23.88,95,100,5.06
159,Lebu,CL,2021-11-30 01:43:26,-37.6167,-73.65,53.85,86,100,17.11
160,Harnosand,SE,2021-11-30 01:43:43,62.6323,17.9379,10.4,72,41,9.22
161,Wageningen,NL,2021-11-30 01:43:43,51.9667,5.6667,42.85,88,90,17.27
162,Gap,FR,2021-11-30 01:43:44,44.6667,6.0,11.84,77,3,6.82
163,Gold Coast,AU,2021-11-30 01:43:44,-28.0,153.4333,74.37,96,90,1.01
164,Mezen,RU,2021-11-30 01:43:45,65.8522,44.24,6.53,96,100,7.09
165,Puerto Ayora,EC,2021-11-30 01:43:45,-0.7393,-90.3518,69.55,93,64,5.01
166,Salvador,SV,2021-11-30 01:43:46,13.8333,-88.9167,77.4,77,3,3.47
167,Castro,BR,2021-11-30 01:43:30,-24.7911,-50.0119,63.79,90,50,4.12
168,Odoyev,RU,2021-11-30 01:43:47,53.9393,36.6864,43.57,88,100,23.2
169,Palmer,US,2021-11-30 01:43:47,42.1584,-72.3287,33.17,68,75,9.22
170,Cayenne,GF,2021-11-30 01:43:48,4.9333,-52.3333,78.1,91,90,3.44
171,San Patricio,US,2021-11-30 01:43:48,28.017,-97.5169,61.84,67,99,6.91
172,Djambala,CG,2021-11-30 01:43:49,-2.5447,14.7533,67.19,93,100,0.85
173,Krasnoselkup,RU,2021-11-30 01:43:49,65.7,82.4667,4.39,97,99,6.96
174,Vukovar,HR,2021-11-30 01:43:50,45.3433,18.9997,35.69,93,0,9.22
175,Maceio,BR,2021-11-30 01:43:50,-9.6658,-35.7353,80.04,83,20,8.05
176,Udachnyy,RU,2021-11-30 01:43:51,66.4167,112.4,-36.04,100,84,2.01
177,Kawhia,NZ,2021-11-30 01:43:51,-38.0651,174.8183,75.74,73,53,7.63
178,Bani Walid,LY,2021-11-30 01:43:52,31.7566,13.9942,52.36,40,28,12.41
179,Nome,US,2021-11-30 01:43:53,64.5011,-165.4064,-3.93,50,1,8.05
180,Hashtrud,IR,2021-11-30 01:44:53,37.4779,47.0508,38.46,78,34,2.75
181,Natitingou,BJ,2021-11-30 01:44:54,10.3042,1.3796,73.2,18,65,4.72
182,Tahe,CN,2021-11-30 01:44:54,52.3333,124.7333,6.69,81,28,2.66
183,Ambon,ID,2021-11-30 01:44:55,-3.6954,128.1814,86.14,74,40,4.61
184,Dzilam Gonzalez,MX,2021-11-30 01:44:55,21.2833,-88.9333,73.9,78,35,6.73
185,Faanui,PF,2021-11-30 01:44:55,-16.4833,-151.75,80.89,76,100,14.18
186,Rehoboth,NA,2021-11-30 01:44:56,-23.3167,17.0833,62.02,20,0,6.91
187,Bubanza,BI,2021-11-30 01:44:56,-3.1167,29.4,67.64,90,100,3.15
188,Sosnovo-Ozerskoye,RU,2021-11-30 01:44:57,52.5249,111.5418,10.13,84,99,9.89
189,Komsomolskiy,UZ,2021-11-30 01:44:58,40.4272,71.7189,31.42,80,100,4.61
190,Tiksi,RU,2021-11-30 01:44:58,71.6872,128.8694,-22.04,99,97,6.22
191,Khargone,IN,2021-11-30 01:44:58,21.8167,75.6,64.6,48,100,5.64
192,Changji,CN,2021-11-30 01:44:59,44.0167,87.3167,7.59,85,3,2.24
193,Half Moon Bay,US,2021-11-30 01:44:59,37.4636,-122.4286,66.61,72,1,0.0
194,Roald,NO,2021-11-30 01:45:00,62.5833,6.1333,36.09,87,75,11.5
195,Opuwo,NA,2021-11-30 01:45:00,-18.0607,13.84,67.51,30,71,1.72
196,Remedios,CU,2021-11-30 01:45:01,22.4947,-79.5458,68.92,68,13,4.59
197,Bud,US,2021-11-30 01:45:01,39.447,-86.1758,41.9,46,85,14.5
198,Rudbar,AF,2021-11-30 01:45:02,30.15,62.6,57.61,37,100,2.62
199,Bandarbeyla,SO,2021-11-30 01:45:02,9.4942,50.8122,76.37,71,8,16.69
200,Puerto Colombia,CO,2021-11-30 01:45:03,10.9878,-74.9547,82.49,82,99,22.79
201,Bol,TD,2021-11-30 01:45:04,13.4586,14.7147,77.13,36,72,17.43
202,Ugoofaaru,MV,2021-11-30 01:45:04,5.6667,73.0,81.41,77,100,16.33
203,Georgetown,MY,2021-11-30 01:41:43,5.4112,100.3354,78.89,90,20,1.01
204,Lazaro Cardenas,MX,2021-11-30 01:45:05,17.9583,-102.2,76.93,74,11,3.69
205,Rawlins,US,2021-11-30 01:45:04,41.7911,-107.2387,48.42,39,1,9.22
206,Bulgan,MN,2021-11-30 01:45:05,48.8125,103.5347,11.86,81,22,3.31
207,Nizhniy Kuranakh,RU,2021-11-30 01:45:06,58.8353,125.4869,-0.35,96,100,1.5
208,Havre-Saint-Pierre,CA,2021-11-30 01:45:06,50.2334,-63.5986,30.2,93,90,10.36
209,Nanton,CA,2021-11-30 01:45:07,50.3501,-113.7687,39.51,64,74,4.81
210,Sungaipenuh,ID,2021-11-30 01:45:07,-2.0833,101.3833,73.98,53,69,5.37
211,Tuatapere,NZ,2021-11-30 01:45:08,-46.1333,167.6833,61.83,65,77,7.34
212,Chuy,UY,2021-11-30 01:45:08,-33.6971,-53.4616,64.92,91,100,16.6
213,Bethel,US,2021-11-30 01:44:44,41.3712,-73.414,34.92,72,6,1.01
214,Nabire,ID,2021-11-30 01:45:09,-3.3667,135.4833,88.48,60,97,2.35
215,Sri Aman,MY,2021-11-30 01:45:10,1.2376,111.4621,78.85,73,20,3.44
216,Kayes,ML,2021-11-30 01:45:10,14.0,-11.0,78.48,20,100,3.56
217,Russell,US,2021-11-30 01:45:11,32.3502,-85.1999,44.2,62,1,0.0
218,Boralday,KZ,2021-11-30 01:45:11,43.3578,76.8594,21.06,86,20,2.24
219,Saint Anthony,US,2021-11-30 01:45:12,45.0205,-93.218,43.75,68,1,5.99
220,Sao Filipe,CV,2021-11-30 01:45:12,14.8961,-24.4956,74.97,69,100,13.65
221,Okahandja,NA,2021-11-30 01:45:13,-21.9833,16.9167,71.91,26,0,1.3
222,Boyolangu,ID,2021-11-30 01:45:13,-8.1181,111.8935,83.07,69,77,4.94
223,Srednekolymsk,RU,2021-11-30 01:45:13,67.45,153.6833,-19.03,98,100,6.31
224,Weihai,CN,2021-11-30 01:45:14,37.5017,122.1136,43.12,68,100,31.94
225,Koshurnikovo,RU,2021-11-30 01:45:15,54.1667,93.3,6.48,98,100,2.82
226,Apsheronsk,RU,2021-11-30 01:45:15,44.46,39.73,56.52,86,100,12.17
227,Cremona,IT,2021-11-30 01:45:16,45.2333,9.9333,42.28,65,23,7.96
228,Alofi,NU,2021-11-30 01:45:16,-19.0595,-169.9187,84.09,54,40,13.8
229,La Ronge,CA,2021-11-30 01:45:23,55.1001,-105.2842,23.25,68,20,9.22
230,General Cepeda,MX,2021-11-30 01:46:17,25.3833,-101.45,56.61,58,35,2.33
231,Kavaratti,IN,2021-11-30 01:46:17,10.5669,72.642,80.82,78,100,13.6
232,Campbeltown,GB,2021-11-30 01:46:18,55.4258,-5.6076,50.56,92,100,20.71
233,San-Pedro,CI,2021-11-30 01:46:19,4.7485,-6.6363,77.88,85,29,4.52
234,Kamen-Rybolov,RU,2021-11-30 01:46:19,44.7481,132.0403,20.07,91,100,10.51
235,Rybnaya Sloboda,RU,2021-11-30 01:46:20,55.4613,50.1409,35.58,86,100,20.65
236,Tres Arroyos,AR,2021-11-30 01:46:20,-38.3739,-60.2798,52.45,82,0,7.11
237,Murud,IN,2021-11-30 01:46:21,18.3258,72.965,76.44,65,82,6.17
238,Straumen,NO,2021-11-30 01:46:21,63.8709,11.2999,25.63,75,100,3.67
239,Marau,BR,2021-11-30 01:46:22,-28.4492,-52.2,65.37,69,100,6.35
