City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Course Description
60,Victoria,HK,2021-12-03 20:43:49,22.2855,114.1577,63.32,37,38,10.0,scattered clouds
61,Salalah,OM,2021-12-03 20:46:09,17.0151,54.0924,75.29,64,0,2.3,clear sky
62,Sinnamary,GF,2021-12-03 20:44:33,5.3833,-52.95,78.48,84,73,7.76,broken clouds
63,Maniitsoq,GL,2021-12-03 20:46:10,65.4167,-52.9,23.34,57,100,24.32,overcast clouds
64,Chumikan,RU,2021-12-03 20:46:10,54.7183,135.315,-15.39,93,28,13.85,scattered clouds
65,Lavrentiya,RU,2021-12-03 20:46:11,65.5833,-171.0,12.52,94,100,14.67,snow
66,Georgetown,MY,2021-12-03 20:45:46,5.4112,100.3354,78.89,85,20,0.0,few clouds
67,Kautokeino,NO,2021-12-03 20:46:11,69.0125,23.0412,-2.52,100,100,1.86,overcast clouds
68,Sakakah,SA,2021-12-03 20:46:10,29.9697,40.2064,54.97,43,100,9.13,overcast clouds
69,Kapaa,US,2021-12-03 20:41:09,22.0752,-159.319,75.18,85,90,5.99,moderate rain
70,Cidreira,BR,2021-12-03 20:46:13,-30.1811,-50.2056,69.4,75,32,19.75,scattered clouds
71,Cherskiy,RU,2021-12-03 20:44:27,68.75,161.3,-8.93,97,100,13.98,light snow
72,Tuatapere,NZ,2021-12-03 20:46:13,-46.1333,167.6833,59.83,92,100,2.08,light rain
73,Iqaluit,CA,2021-12-03 20:46:14,63.7506,-68.5145,8.33,78,40,8.01,scattered clouds
74,Hermanus,ZA,2021-12-03 20:46:14,-34.4187,19.2345,62.91,72,44,12.5,scattered clouds
75,Narsaq,GL,2021-12-03 20:46:15,60.9167,-46.05,19.62,62,71,11.1,broken clouds
76,Thompson,CA,2021-12-03 20:46:16,55.7435,-97.8558,-2.04,71,75,11.5,broken clouds
77,Bathsheba,BB,2021-12-03 20:46:16,13.2167,-59.5167,83.01,69,20,17.27,few clouds
78,Provideniya,RU,2021-12-03 20:46:17,64.3833,-173.3,29.5,98,100,7.72,snow
79,Nyrob,RU,2021-12-03 20:44:35,60.733,56.7202,0.28,100,98,2.71,overcast clouds
80,Lokoja,NG,2021-12-03 20:46:17,7.8024,6.743,82.85,27,50,2.62,scattered clouds
81,Samarai,PG,2021-12-03 20:46:18,-10.6167,150.6667,81.66,79,59,5.7,broken clouds
82,Ozinki,RU,2021-12-03 20:46:18,51.1786,49.6769,39.02,74,100,17.67,overcast clouds
83,Jamestown,US,2021-12-03 20:44:34,42.097,-79.2353,37.02,79,90,4.0,overcast clouds
84,Bredasdorp,ZA,2021-12-03 20:44:30,-34.5322,20.0403,61.29,70,89,7.43,overcast clouds
85,Atar,MR,2021-12-03 20:46:19,20.5169,-13.0499,69.8,26,78,10.27,broken clouds
86,Novovasylivka,UA,2021-12-03 20:46:20,46.8315,35.7536,50.49,84,100,15.79,overcast clouds
87,Oktyabrskoye,RU,2021-12-03 20:46:21,43.0645,44.7417,19.54,93,0,4.47,clear sky
88,Mackenzie,CA,2021-12-03 20:45:33,55.2999,-123.1698,25.02,68,90,8.05,overcast clouds
89,Eskilstuna,SE,2021-12-03 20:46:21,59.3666,16.5077,23.04,91,12,3.33,few clouds
90,Dosso,NE,2021-12-03 20:46:22,13.049,3.1937,78.64,15,36,9.15,scattered clouds
91,Kruisfontein,ZA,2021-12-03 20:46:22,-34.0033,24.7314,57.88,85,100,3.78,overcast clouds
92,Jasper,US,2021-12-03 20:45:34,37.2001,-94.3502,74.35,61,1,1.01,clear sky
