City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
613,Charagua,BO,82.58,overcast clouds,-19.8,-63.2167,Hotel
614,Maragogi,BR,80.1,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
615,Bundaberg,AU,79.21,few clouds,-24.85,152.35,Takalvan Motel
617,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
620,Sindou,BF,80.13,clear sky,10.6667,-5.1667,LERABA HOTEL
622,Mercedes,AR,76.03,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
627,Bafata,GW,79.95,scattered clouds,12.1667,-14.75, 
631,Santa Rosa,PH,75.85,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
634,Karratha,AU,83.46,clear sky,-20.7377,116.8463,ibis Styles Karratha
638,Izazi,TZ,75.38,broken clouds,-7.2,35.7333, 
641,Eydhafushi,MV,81.54,clear sky,5.1033,73.0708,Soneva Fushi
642,La Joya,MX,85.39,overcast clouds,18.6667,-99.4667,HOTEL Y RESTAURANTE BUGAMBILIAS
644,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
646,Coahuayana,MX,87.39,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
651,Alta Floresta,BR,78.62,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
653,Singkang,MY,75.09,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
655,Maine-Soroa,NE,76.1,few clouds,13.2114,12.0241,Complexe
661,Kulhudhuffushi,MV,81.75,scattered clouds,6.6221,73.07,Haajy Guest House 1
663,Milton,US,76.77,broken clouds,34.1322,-84.3007,Children's Cottage Montessori
665,Parana,AR,89.29,few clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
667,Angoche,MZ,79.11,clear sky,-16.2325,39.9086,Guest House HESADA
671,Mount Darwin,ZW,76.89,clear sky,-16.7725,31.5838, 
672,Beberibe,BR,85.15,overcast clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
673,Manggar,ID,79.74,overcast clouds,-2.8833,108.2667,Guest Hotel
